franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,image_url,packaged_image_url,notes
Masters of the Universe,Masters of the Universe,He-Man 200X,Mattel,2002,Action Figures Checklist - 1,Beast Man,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-200x/action-figures/beast-man-6549.php,,https://www.actionfigure411.com/masters-of-the-universe/images/beast-man-6549.jpg,ActionFigure411 checklist section: Action Figures Checklist. Checklist wave/store slot: 1. Checklist retail: $7.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,He-Man 200X,Mattel,2002,Action Figures Checklist - 1,He-Man,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-200x/action-figures/he-man-6546.php,,https://www.actionfigure411.com/masters-of-the-universe/images/he-man-6546.jpg,ActionFigure411 checklist section: Action Figures Checklist. Checklist wave/store slot: 1. Checklist retail: $7.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,He-Man 200X,Mattel,2002,Action Figures Checklist - 1,He-Man (Battle Sound),modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-200x/action-figures/he-man-battle-sound-6544.php,,https://www.actionfigure411.com/masters-of-the-universe/images/he-man-battle-sound-6544.jpg,ActionFigure411 checklist section: Action Figures Checklist. Checklist wave/store slot: 1. Checklist retail: $14.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,He-Man 200X,Mattel,2002,Action Figures Checklist - 1,Man-At-Arms,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-200x/action-figures/man-at-arms-6547.php,,https://www.actionfigure411.com/masters-of-the-universe/images/man-at-arms-6547.jpg,ActionFigure411 checklist section: Action Figures Checklist. Checklist wave/store slot: 1. Checklist retail: $7.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,He-Man 200X,Mattel,2002,Action Figures Checklist - 1,Mer-Man,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-200x/action-figures/mer-man-6550.php,,https://www.actionfigure411.com/masters-of-the-universe/images/mer-man-6550.jpg,ActionFigure411 checklist section: Action Figures Checklist. Checklist wave/store slot: 1. Checklist retail: $7.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,He-Man 200X,Mattel,2002,Action Figures Checklist - 1,Skeletor,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-200x/action-figures/skeletor-6551.php,,https://www.actionfigure411.com/masters-of-the-universe/images/skeletor-6551.jpg,ActionFigure411 checklist section: Action Figures Checklist. Checklist wave/store slot: 1. Checklist retail: $7.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,He-Man 200X,Mattel,2002,Action Figures Checklist - 1,Skeletor (Battle Sound),modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-200x/action-figures/skeletor-battle-sound-6545.php,,https://www.actionfigure411.com/masters-of-the-universe/images/skeletor-battle-sound-6545.jpg,ActionFigure411 checklist section: Action Figures Checklist. Checklist wave/store slot: 1. Checklist retail: $14.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,He-Man 200X,Mattel,2002,Action Figures Checklist - 1,Stratos,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-200x/action-figures/stratos-6548.php,,https://www.actionfigure411.com/masters-of-the-universe/images/stratos-6548.jpg,ActionFigure411 checklist section: Action Figures Checklist. Checklist wave/store slot: 1. Checklist retail: $7.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,He-Man 200X,Mattel,2002,Action Figures Checklist - 2,He-Man (Jungle Attack),modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-200x/action-figures/he-man-jungle-attack-6559.php,,https://www.actionfigure411.com/masters-of-the-universe/images/he-man-jungle-attack-6559.jpg,ActionFigure411 checklist section: Action Figures Checklist. Checklist wave/store slot: 2. Checklist retail: $7.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,He-Man 200X,Mattel,2002,Action Figures Checklist - 2,He-Man vs Skeletor Gift Set,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-200x/action-figures/he-man-vs-skeletor-gift-set-6563.php,,https://www.actionfigure411.com/masters-of-the-universe/images/he-man-vs-skeletor-gift-set-6563.jpg,ActionFigure411 checklist section: Action Figures Checklist. Checklist wave/store slot: 2. Checklist retail: $14.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,He-Man 200X,Mattel,2002,Action Figures Checklist - 2,Mekaneck,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-200x/action-figures/mekaneck-6561.php,,https://www.actionfigure411.com/masters-of-the-universe/images/mekaneck-6561.jpg,ActionFigure411 checklist section: Action Figures Checklist. Checklist wave/store slot: 2. Checklist retail: $7.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,He-Man 200X,Mattel,2002,Action Figures Checklist - 2,Ram Man,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-200x/action-figures/ram-man-6560.php,,https://www.actionfigure411.com/masters-of-the-universe/images/ram-man-6560.jpg,ActionFigure411 checklist section: Action Figures Checklist. Checklist wave/store slot: 2. Checklist retail: $7.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,He-Man 200X,Mattel,2002,Creatures Checklist - 1,Battle Cat,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-200x/creatures/battle-cat-6552.php,,https://www.actionfigure411.com/masters-of-the-universe/images/battle-cat-6552.jpg,ActionFigure411 checklist section: Creatures Checklist. Checklist wave/store slot: 1. Checklist retail: $15.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,He-Man 200X,Mattel,2002,Creatures Checklist - 1,Panthor,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-200x/creatures/panthor-6553.php,,https://www.actionfigure411.com/masters-of-the-universe/images/panthor-6553.jpg,ActionFigure411 checklist section: Creatures Checklist. Checklist wave/store slot: 1. Checklist retail: $15.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,He-Man 200X,Mattel,2002,Vehicles & Playsets Checklist - 1,Battle Hawk,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-200x/vehicles-playsets/battle-hawk-6554.php,,https://www.actionfigure411.com/masters-of-the-universe/images/battle-hawk-6554.jpg,ActionFigure411 checklist section: Vehicles & Playsets Checklist. Checklist wave/store slot: 1. Checklist retail: $15.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,He-Man 200X,Mattel,2002,Vehicles & Playsets Checklist - 1,Battle Ram Chariot,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-200x/vehicles-playsets/battle-ram-chariot-6556.php,,https://www.actionfigure411.com/masters-of-the-universe/images/battle-ram-chariot-6556.jpg,ActionFigure411 checklist section: Vehicles & Playsets Checklist. Checklist wave/store slot: 1. Checklist retail: $19.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,He-Man 200X,Mattel,2002,Vehicles & Playsets Checklist - 1,Battle Tank,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-200x/vehicles-playsets/battle-tank-6555.php,,https://www.actionfigure411.com/masters-of-the-universe/images/battle-tank-6555.jpg,ActionFigure411 checklist section: Vehicles & Playsets Checklist. Checklist wave/store slot: 1. Checklist retail: $19.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,He-Man 200X,Mattel,2002,Vehicles & Playsets Checklist - 1,Castle Grayskull,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-200x/vehicles-playsets/castle-grayskull-6558.php,,https://www.actionfigure411.com/masters-of-the-universe/images/castle-grayskull-6558.jpg,ActionFigure411 checklist section: Vehicles & Playsets Checklist. Checklist wave/store slot: 1. Checklist retail: $59.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,He-Man 200X,Mattel,2002,Vehicles & Playsets Checklist - 1,Terrordactyl,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-200x/vehicles-playsets/terrordactyl-6557.php,,https://www.actionfigure411.com/masters-of-the-universe/images/terrordactyl-6557.jpg,ActionFigure411 checklist section: Vehicles & Playsets Checklist. Checklist wave/store slot: 1. Checklist retail: $14.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,He-Man 200X,Mattel,2002,Vehicles & Playsets Checklist - 2,Bashin' Beetle,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-200x/vehicles-playsets/bashin-beetle-6562.php,,https://www.actionfigure411.com/masters-of-the-universe/images/bashin-beetle-6562.jpg,ActionFigure411 checklist section: Vehicles & Playsets Checklist. Checklist wave/store slot: 2. Checklist retail: $29.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,He-Man 200X,Mattel,2003,Accessories Checklist - 3,He-Man Eagle Fight-Pak,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-200x/accessories/he-man-eagle-fight-pak-6579.php,,https://www.actionfigure411.com/masters-of-the-universe/images/he-man-eagle-fight-pak-6579.jpg,ActionFigure411 checklist section: Accessories Checklist. Checklist wave/store slot: 3. Checklist retail: $4.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,He-Man 200X,Mattel,2003,Accessories Checklist - 3,Skeletor Bat Fight-Pak,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-200x/accessories/skeletor-bat-fight-pak-6580.php,,https://www.actionfigure411.com/masters-of-the-universe/images/skeletor-bat-fight-pak-6580.jpg,ActionFigure411 checklist section: Accessories Checklist. Checklist wave/store slot: 3. Checklist retail: $4.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,He-Man 200X,Mattel,2003,Action Figures Checklist - 3,He-Man (Samurai),modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-200x/action-figures/he-man-samurai-6571.php,,https://www.actionfigure411.com/masters-of-the-universe/images/he-man-samurai-6571.jpg,ActionFigure411 checklist section: Action Figures Checklist. Checklist wave/store slot: 3. Checklist retail: $14.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,He-Man 200X,Mattel,2003,Action Figures Checklist - 3,He-Man (Smash Blade),modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-200x/action-figures/he-man-smash-blade-6565.php,,https://www.actionfigure411.com/masters-of-the-universe/images/he-man-smash-blade-6565.jpg,ActionFigure411 checklist section: Action Figures Checklist. Checklist wave/store slot: 3. Checklist retail: $7.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,He-Man 200X,Mattel,2003,Action Figures Checklist - 3,Man-At-Arms (Samurai),modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-200x/action-figures/man-at-arms-samurai-6572.php,,https://www.actionfigure411.com/masters-of-the-universe/images/man-at-arms-samurai-6572.jpg,ActionFigure411 checklist section: Action Figures Checklist. Checklist wave/store slot: 3. Checklist retail: $14.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,He-Man 200X,Mattel,2003,Action Figures Checklist - 3,Orko,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-200x/action-figures/orko-6567.php,,https://www.actionfigure411.com/masters-of-the-universe/images/orko-6567.jpg,ActionFigure411 checklist section: Action Figures Checklist. Checklist wave/store slot: 3. Checklist retail: $7.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
