franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,image_url,packaged_image_url,notes
Biker Mice From Mars,Biker Mice From Mars,Vintage Biker Mice From Mars,Galoob,1995,Astro Bro's,Meteor-Bashin' Throttle,action_figure,Figure Realm; Toyzinger,https://toyzinger.com/en/biker-mice-from-mars/checklist-biker-mice-galoob-90/meteor-bashin-throttle/,https://image.toyzinger.com/biker-mice-astro-meteor-bashin-throttle-complete.webp,https://image.toyzinger.com/biker-mice-astro-meteor-bashin-throttle-moc.webp,Vintage Galoob Biker Mice from Mars item sourced from Figure Realm checklist. Variants and subseries follow the Figure Realm breakdown. Photo source: Toyzinger detail page.
Biker Mice From Mars,Biker Mice From Mars,Vintage Biker Mice From Mars,Galoob,1995,Astro Bro's,Planet-Hoppin' Modo,action_figure,Figure Realm; Toyzinger,https://toyzinger.com/en/biker-mice-from-mars/checklist-biker-mice-galoob-90/planet-hoppin-modo/,https://image.toyzinger.com/biker-mice-astro-planet-hoppin-modo-back.webp,https://image.toyzinger.com/biker-mice-astro-planet-hoppin-modo-moc.webp,Vintage Galoob Biker Mice from Mars item sourced from Figure Realm checklist. Variants and subseries follow the Figure Realm breakdown. Photo source: Toyzinger detail page.
Biker Mice From Mars,Biker Mice From Mars,Vintage Biker Mice From Mars,Galoob,1996,Astro Bro's,Sky-Skimmin' Rimfire,action_figure,Figure Realm; Toyzinger,https://toyzinger.com/en/biker-mice-from-mars/checklist-biker-mice-galoob-90/sky-skimmin-rimfire/,,https://image.toyzinger.com/biker-mice-astro-sky-skimmin-rimfire-moc.webp,Vintage Galoob Biker Mice from Mars item sourced from Figure Realm checklist. Variants and subseries follow the Figure Realm breakdown. Photo source: Toyzinger detail page.
Biker Mice From Mars,Biker Mice From Mars,Vintage Biker Mice From Mars,Galoob,1995,Astro Bro's,Star-Blastin' Vinnie,action_figure,Figure Realm; Toyzinger,https://toyzinger.com/en/biker-mice-from-mars/checklist-biker-mice-galoob-90/star-blastin-vinnie/,https://image.toyzinger.com/biker-mice-astro-star-blastin-vinnie-accesories.webp,https://image.toyzinger.com/biker-mice-astro-star-blastin-vinnie-moc.webp,Vintage Galoob Biker Mice from Mars item sourced from Figure Realm checklist. Variants and subseries follow the Figure Realm breakdown. Photo source: Toyzinger detail page.
Biker Mice From Mars,Biker Mice From Mars,Vintage Biker Mice From Mars,Galoob,1996,Astro Bro's Vehicles,Modo's Crater Cruiser,vehicle,Figure Realm; Toyzinger,https://toyzinger.com/en/biker-mice-from-mars/checklist-biker-mice-galoob-90/modo-crater-cruiser/,https://image.toyzinger.com/biker-mice-astro-crater-cruiser-wings.webp,https://image.toyzinger.com/biker-mice-astro-crater-cruiser-box.webp,Vintage Galoob Biker Mice from Mars item sourced from Figure Realm checklist. Variants and subseries follow the Figure Realm breakdown. Photo source: Toyzinger detail page.
Biker Mice From Mars,Biker Mice From Mars,Vintage Biker Mice From Mars,Galoob,1996,Astro Bro's Vehicles,Throttle's Neutron Racer,vehicle,Figure Realm; Toyzinger,https://toyzinger.com/en/biker-mice-from-mars/checklist-biker-mice-galoob-90/throttle-neutron-racer/,https://image.toyzinger.com/biker-mice-astro-neutron-race-box.webp,https://image.toyzinger.com/biker-mice-astro-neutron-race-box-italy.webp,Vintage Galoob Biker Mice from Mars item sourced from Figure Realm checklist. Variants and subseries follow the Figure Realm breakdown. Photo source: Toyzinger detail page.
Biker Mice From Mars,Biker Mice From Mars,Vintage Biker Mice From Mars,Galoob,1996,Astro Bro's Vehicles,Vinnie's Cosmic Charger,vehicle,Figure Realm; Toyzinger,https://toyzinger.com/en/biker-mice-from-mars/checklist-biker-mice-galoob-90/vinnie-cosmic-charger/,https://image.toyzinger.com/biker-mic-astro-cosmic-charger-complete.webp,https://image.toyzinger.com/biker-mic-astro-cosmic-charger-box.webp,Vintage Galoob Biker Mice from Mars item sourced from Figure Realm checklist. Variants and subseries follow the Figure Realm breakdown. Photo source: Toyzinger detail page.
Biker Mice From Mars,Biker Mice From Mars,Vintage Biker Mice From Mars,Galoob,1993,Basic Series,Charley,action_figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=658&ssid=0,https://www.figurerealm.com/galleries/bikermicefrommars/thumb_Charley1.jpg,https://www.figurerealm.com/galleries/bikermicefrommars/thumb_Charley-Front.jpg,Vintage Galoob Biker Mice from Mars item sourced from Figure Realm checklist. Variants and subseries follow the Figure Realm breakdown.
Biker Mice From Mars,Biker Mice From Mars,Vintage Biker Mice From Mars,Galoob,1993,Basic Series,Dr Karbunkle,action_figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=658&ssid=0,https://www.figurerealm.com/galleries/bikermicefrommars/thumb_DrKarbunkle1.jpg,https://www.figurerealm.com/galleries/bikermicefrommars/thumb_DrKarbunkle-Front.jpg,Vintage Galoob Biker Mice from Mars item sourced from Figure Realm checklist. Variants and subseries follow the Figure Realm breakdown.
Biker Mice From Mars,Biker Mice From Mars,Vintage Biker Mice From Mars,Galoob,1993,Basic Series,Evil Eye Weevil,action_figure,Figure Realm; Toyzinger,https://toyzinger.com/en/biker-mice-from-mars/checklist-biker-mice-galoob-90/weevil/,https://image.toyzinger.com/biker-mice-from-mars-motorratones-weevil-complete.webp,https://image.toyzinger.com/biker-mice-from-mars-motorratones-weevil-moc.webp,Vintage Galoob Biker Mice from Mars item sourced from Figure Realm checklist. Variants and subseries follow the Figure Realm breakdown. Photo source: Toyzinger detail page.
Biker Mice From Mars,Biker Mice From Mars,Vintage Biker Mice From Mars,Galoob,1995,Basic Series,Four-By,action_figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=658&ssid=0,https://www.figurerealm.com/galleries/bikermicefrommars/thumb_FourBy1.jpg,https://www.figurerealm.com/galleries/bikermicefrommars/thumb_FourBy-Front.jpg,Vintage Galoob Biker Mice from Mars item sourced from Figure Realm checklist. Variants and subseries follow the Figure Realm breakdown.
Biker Mice From Mars,Biker Mice From Mars,Vintage Biker Mice From Mars,Galoob,1993,Basic Series,Greasepit,action_figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=658&ssid=0,https://www.figurerealm.com/galleries/bikermicefrommars/thumb_Greasepit1.jpg,https://www.figurerealm.com/galleries/bikermicefrommars/thumb_Greasepit-Front.jpg,Vintage Galoob Biker Mice from Mars item sourced from Figure Realm checklist. Variants and subseries follow the Figure Realm breakdown.
Biker Mice From Mars,Biker Mice From Mars,Vintage Biker Mice From Mars,Galoob,1993,Basic Series,Lawrence Limburger,action_figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=658&ssid=0,https://www.figurerealm.com/galleries/bikermicefrommars/thumb_LawrenceLimburger1.jpg,https://www.figurerealm.com/galleries/bikermicefrommars/thumb_LawrenceLimburger-Front.jpg,Vintage Galoob Biker Mice from Mars item sourced from Figure Realm checklist. Variants and subseries follow the Figure Realm breakdown.
Biker Mice From Mars,Biker Mice From Mars,Vintage Biker Mice From Mars,Galoob,1993,Basic Series,Lectromag,action_figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=658&ssid=0,https://www.figurerealm.com/galleries/bikermicefrommars/thumb_Lectromag1.jpg,https://www.figurerealm.com/galleries/bikermicefrommars/thumb_Lectromag-Front.jpg,Vintage Galoob Biker Mice from Mars item sourced from Figure Realm checklist. Variants and subseries follow the Figure Realm breakdown.
Biker Mice From Mars,Biker Mice From Mars,Vintage Biker Mice From Mars,Galoob,1993,Basic Series,Modo,action_figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=658&ssid=0,https://www.figurerealm.com/galleries/bikermicefrommars/thumb_Modo1.jpg,https://www.figurerealm.com/galleries/bikermicefrommars/thumb_Modo-Front.jpg,Vintage Galoob Biker Mice from Mars item sourced from Figure Realm checklist. Variants and subseries follow the Figure Realm breakdown.
Biker Mice From Mars,Biker Mice From Mars,Vintage Biker Mice From Mars,Galoob,1993,Basic Series,Throttle,action_figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=658&ssid=0,https://www.figurerealm.com/galleries/bikermicefrommars/thumb_Throttle1.jpg,https://www.figurerealm.com/galleries/bikermicefrommars/thumb_Throttle-Front.jpg,Vintage Galoob Biker Mice from Mars item sourced from Figure Realm checklist. Variants and subseries follow the Figure Realm breakdown.
Biker Mice From Mars,Biker Mice From Mars,Vintage Biker Mice From Mars,Galoob,1993,Basic Series,Vinnie,action_figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=658&ssid=0,https://www.figurerealm.com/galleries/bikermicefrommars/thumb_Vinnie1.jpg,https://www.figurerealm.com/galleries/bikermicefrommars/thumb_Vinnie-Front.jpg,Vintage Galoob Biker Mice from Mars item sourced from Figure Realm checklist. Variants and subseries follow the Figure Realm breakdown.
Biker Mice From Mars,Biker Mice From Mars,Vintage Biker Mice From Mars,Galoob,1993,Basic Vehicles & Playsets,Dr. Karbunkle's Transporter and Secret Lab (Blue-Orange),playset,Figure Realm; Toyzinger,https://toyzinger.com/en/biker-mice-from-mars/checklist-biker-mice-galoob-90/secret-lab/,https://image.toyzinger.com/biker-mice-transporter-secret-lab-open.webp,https://image.toyzinger.com/biker-mice-transporter-secret-lab-box.webp,Vintage Galoob Biker Mice from Mars item sourced from Figure Realm checklist. Variants and subseries follow the Figure Realm breakdown. Photo source: Toyzinger detail page.
Biker Mice From Mars,Biker Mice From Mars,Vintage Biker Mice From Mars,Galoob,1993,Basic Vehicles & Playsets,Dr. Karbunkle's Transporter and Secret Lab (Orange-Blue),playset,Figure Realm; Toyzinger,https://toyzinger.com/en/biker-mice-from-mars/checklist-biker-mice-galoob-90/secret-lab/,https://image.toyzinger.com/biker-mice-transporter-secret-lab-open.webp,https://image.toyzinger.com/biker-mice-transporter-secret-lab-box.webp,Vintage Galoob Biker Mice from Mars item sourced from Figure Realm checklist. Variants and subseries follow the Figure Realm breakdown. Photo source: Toyzinger detail page.
