franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,image_url,packaged_image_url,notes
Masters of the Universe,Masters of the Universe,Classics,Mattel,2008,Evil Warriors Checklist,Beast Man,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/evil-warriors/beast-man-3994.php,,https://www.actionfigure411.com/masters-of-the-universe/images/beast-man-3994.jpg,ActionFigure411 checklist section: Evil Warriors Checklist. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2008,Heroic Warriors Checklist,He-Man,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/heroic-warriors/he-man-3992.php,,https://www.actionfigure411.com/masters-of-the-universe/images/he-man-3992.jpg,ActionFigure411 checklist section: Heroic Warriors Checklist. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2008,Heroic Warriors Checklist - SDCC,King Grayskull (Bronze Variant),modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/heroic-warriors/king-grayskull-bronze-variant-5178.php,,https://www.actionfigure411.com/masters-of-the-universe/images/king-grayskull-bronze-variant-5178.jpg,ActionFigure411 checklist section: Heroic Warriors Checklist. Checklist wave/store slot: SDCC. Checklist retail: $40.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2008,Heroic Warriors Checklist - SDCC,King Grayskull (SDCC),modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/heroic-warriors/king-grayskull-sdcc-3993.php,,https://www.actionfigure411.com/masters-of-the-universe/images/king-grayskull-sdcc-3993.jpg,ActionFigure411 checklist section: Heroic Warriors Checklist. Checklist wave/store slot: SDCC. Checklist retail: $40.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2008,Heroic Warriors Checklist - SDCC,Spirit of Grayskull,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/heroic-warriors/spirit-of-grayskull-5177.php,,https://www.actionfigure411.com/masters-of-the-universe/images/spirit-of-grayskull-5177.jpg,ActionFigure411 checklist section: Heroic Warriors Checklist. Checklist wave/store slot: SDCC. Checklist retail: $29.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2009,Evil Horde Checklist,Hordak,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/evil-horde/hordak-4000.php,,https://www.actionfigure411.com/masters-of-the-universe/images/hordak-4000.jpg,ActionFigure411 checklist section: Evil Horde Checklist. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2009,Evil Warriors Checklist,Faker,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/evil-warriors/faker-3997.php,,https://www.actionfigure411.com/masters-of-the-universe/images/faker-3997.jpg,ActionFigure411 checklist section: Evil Warriors Checklist. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2009,Evil Warriors Checklist,Mer-Man,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/evil-warriors/mer-man-3998.php,,https://www.actionfigure411.com/masters-of-the-universe/images/mer-man-3998.jpg,ActionFigure411 checklist section: Evil Warriors Checklist. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2009,Evil Warriors Checklist,Scareglow,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/evil-warriors/scareglow-4007.php,,https://www.actionfigure411.com/masters-of-the-universe/images/scareglow-4007.jpg,ActionFigure411 checklist section: Evil Warriors Checklist. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2009,Evil Warriors Checklist,Skeletor,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/evil-warriors/skeletor-3995.php,,https://www.actionfigure411.com/masters-of-the-universe/images/skeletor-3995.jpg,ActionFigure411 checklist section: Evil Warriors Checklist. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2009,Evil Warriors Checklist,Tri-Klops,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/evil-warriors/tri-klops-4003.php,,https://www.actionfigure411.com/masters-of-the-universe/images/tri-klops-4003.jpg,ActionFigure411 checklist section: Evil Warriors Checklist. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2009,Evil Warriors Checklist,Webstor,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/evil-warriors/webstor-4004.php,,https://www.actionfigure411.com/masters-of-the-universe/images/webstor-4004.jpg,ActionFigure411 checklist section: Evil Warriors Checklist. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2009,Heroic Warriors Checklist,King Randor,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/heroic-warriors/king-randor-4008.php,,https://www.actionfigure411.com/masters-of-the-universe/images/king-randor-4008.jpg,ActionFigure411 checklist section: Heroic Warriors Checklist. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2009,Heroic Warriors Checklist,Man-At-Arms,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/heroic-warriors/man-at-arms-4001.php,,https://www.actionfigure411.com/masters-of-the-universe/images/man-at-arms-4001.jpg,ActionFigure411 checklist section: Heroic Warriors Checklist. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2009,Heroic Warriors Checklist,Stratos,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/heroic-warriors/stratos-3996.php,,https://www.actionfigure411.com/masters-of-the-universe/images/stratos-3996.jpg,ActionFigure411 checklist section: Heroic Warriors Checklist. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2009,Heroic Warriors Checklist,Teela,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/heroic-warriors/teela-4005.php,,https://www.actionfigure411.com/masters-of-the-universe/images/teela-4005.jpg,ActionFigure411 checklist section: Heroic Warriors Checklist. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2009,Heroic Warriors Checklist,The Goddess,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/heroic-warriors/the-goddess-4009.php,,https://www.actionfigure411.com/masters-of-the-universe/images/the-goddess-4009.jpg,ActionFigure411 checklist section: Heroic Warriors Checklist. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2009,Heroic Warriors Checklist,Zodac,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/heroic-warriors/zodac-3999.php,,https://www.actionfigure411.com/masters-of-the-universe/images/zodac-3999.jpg,ActionFigure411 checklist section: Heroic Warriors Checklist. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2009,Heroic Warriors Checklist,Zodak,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/heroic-warriors/zodak-4006.php,,https://www.actionfigure411.com/masters-of-the-universe/images/zodak-4006.jpg,ActionFigure411 checklist section: Heroic Warriors Checklist. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2009,Heroic Warriors Checklist - SDCC,He-Ro,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/heroic-warriors/he-ro-4002.php,,https://www.actionfigure411.com/masters-of-the-universe/images/he-ro-4002.jpg,ActionFigure411 checklist section: Heroic Warriors Checklist. Checklist wave/store slot: SDCC. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2009,Vehicles and Playsets Checklist,Great Wars Assortment Weapons Pak,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/vehicles-and-playsets/great-wars-assortment-weapons-pak-12474.php,,https://www.actionfigure411.com/masters-of-the-universe/images/great-wars-assortment-weapons-pak-12474.jpg,ActionFigure411 checklist section: Vehicles and Playsets Checklist. Checklist retail: $18.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2009,Vehicles and Playsets Checklist,Ultimate Battleground Assortment Weapons Pak,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/vehicles-and-playsets/ultimate-battleground-assortment-weapons-pak-12475.php,,https://www.actionfigure411.com/masters-of-the-universe/images/ultimate-battleground-assortment-weapons-pak-12475.jpg,ActionFigure411 checklist section: Vehicles and Playsets Checklist. Checklist retail: $18.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2010,Creatures Checklist,Battle Cat,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/creatures/battle-cat-5161.php,,https://www.actionfigure411.com/masters-of-the-universe/images/battle-cat-5161.jpg,ActionFigure411 checklist section: Creatures Checklist. Checklist retail: $30.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2010,Creatures Checklist,Gygor,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/creatures/gygor-5162.php,,https://www.actionfigure411.com/masters-of-the-universe/images/gygor-5162.jpg,ActionFigure411 checklist section: Creatures Checklist. Checklist retail: $30.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2010,Evil Horde Checklist,Grizzlor,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/evil-horde/grizzlor-4049.php,,https://www.actionfigure411.com/masters-of-the-universe/images/grizzlor-4049.jpg,ActionFigure411 checklist section: Evil Horde Checklist. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2010,Evil Mutants Checklist,Optikk,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/evil-mutants/optikk-4050.php,,https://www.actionfigure411.com/masters-of-the-universe/images/optikk-4050.jpg,ActionFigure411 checklist section: Evil Mutants Checklist. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2010,Evil Warriors Checklist,Count Marzo,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/evil-warriors/count-marzo-4047.php,,https://www.actionfigure411.com/masters-of-the-universe/images/count-marzo-4047.jpg,ActionFigure411 checklist section: Evil Warriors Checklist. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2010,Evil Warriors Checklist,Evil-Lyn,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/evil-warriors/evil-lyn-4045.php,,https://www.actionfigure411.com/masters-of-the-universe/images/evil-lyn-4045.jpg,ActionFigure411 checklist section: Evil Warriors Checklist. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2010,Evil Warriors Checklist,Keldor,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/evil-warriors/keldor-4046.php,,https://www.actionfigure411.com/masters-of-the-universe/images/keldor-4046.jpg,ActionFigure411 checklist section: Evil Warriors Checklist. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2010,Evil Warriors Checklist,Trap Jaw,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/evil-warriors/trap-jaw-4044.php,,https://www.actionfigure411.com/masters-of-the-universe/images/trap-jaw-4044.jpg,ActionFigure411 checklist section: Evil Warriors Checklist. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2010,Evil Warriors Checklist,Whiplash,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/evil-warriors/whiplash-4048.php,,https://www.actionfigure411.com/masters-of-the-universe/images/whiplash-4048.jpg,ActionFigure411 checklist section: Evil Warriors Checklist. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2010,Great Rebellion Checklist,Adora,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/great-rebellion/adora-4010.php,,https://www.actionfigure411.com/masters-of-the-universe/images/adora-4010.jpg,ActionFigure411 checklist section: Great Rebellion Checklist. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2010,Great Rebellion Checklist,She-Ra,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/great-rebellion/she-ra-4040.php,,https://www.actionfigure411.com/masters-of-the-universe/images/she-ra-4040.jpg,ActionFigure411 checklist section: Great Rebellion Checklist. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2010,Heroic Warriors Checklist,Battle Armor He-Man,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/heroic-warriors/battle-armor-he-man-4019.php,,https://www.actionfigure411.com/masters-of-the-universe/images/battle-armor-he-man-4019.jpg,ActionFigure411 checklist section: Heroic Warriors Checklist. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2010,Heroic Warriors Checklist,Buzz-Off,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/heroic-warriors/buzz-off-4039.php,,https://www.actionfigure411.com/masters-of-the-universe/images/buzz-off-4039.jpg,ActionFigure411 checklist section: Heroic Warriors Checklist. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2010,Heroic Warriors Checklist,Chief Carnivus,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/heroic-warriors/chief-carnivus-4037.php,,https://www.actionfigure411.com/masters-of-the-universe/images/chief-carnivus-4037.jpg,ActionFigure411 checklist section: Heroic Warriors Checklist. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2010,Heroic Warriors Checklist,King Grayskull,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/heroic-warriors/king-grayskull-4043.php,,https://www.actionfigure411.com/masters-of-the-universe/images/king-grayskull-4043.jpg,ActionFigure411 checklist section: Heroic Warriors Checklist. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2010,Heroic Warriors Checklist,Moss Man,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/heroic-warriors/moss-man-4035.php,,https://www.actionfigure411.com/masters-of-the-universe/images/moss-man-4035.jpg,ActionFigure411 checklist section: Heroic Warriors Checklist. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2010,Heroic Warriors Checklist,Roboto,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/heroic-warriors/roboto-4038.php,,https://www.actionfigure411.com/masters-of-the-universe/images/roboto-4038.jpg,ActionFigure411 checklist section: Heroic Warriors Checklist. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2010,Heroic Warriors Checklist,Tytus,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/heroic-warriors/tytus-4042.php,,https://www.actionfigure411.com/masters-of-the-universe/images/tytus-4042.jpg,ActionFigure411 checklist section: Heroic Warriors Checklist. Checklist retail: $40.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2010,Heroic Warriors Checklist,Wun-Dar,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/heroic-warriors/wun-dar-4041.php,,https://www.actionfigure411.com/masters-of-the-universe/images/wun-dar-4041.jpg,ActionFigure411 checklist section: Heroic Warriors Checklist. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2010,Heroic Warriors Checklist - SDCC,Orko (with Prince Adam),modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/heroic-warriors/orko-with-prince-adam-4036.php,,https://www.actionfigure411.com/masters-of-the-universe/images/orko-with-prince-adam-4036.jpg,ActionFigure411 checklist section: Heroic Warriors Checklist. Checklist wave/store slot: SDCC. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2010,Packs Checklist - SDCC,Mo-Larr vs Skeletor,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/packs/mo-larr-vs-skeletor-5170.php,,https://www.actionfigure411.com/masters-of-the-universe/images/mo-larr-vs-skeletor-5170.jpg,ActionFigure411 checklist section: Packs Checklist. Checklist wave/store slot: SDCC. Checklist retail: $40.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2011,Creatures Checklist,Megator,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/creatures/megator-5163.php,,https://www.actionfigure411.com/masters-of-the-universe/images/megator-5163.jpg,ActionFigure411 checklist section: Creatures Checklist. Checklist retail: $40.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2011,Creatures Checklist,Panthor,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/creatures/panthor-5164.php,,https://www.actionfigure411.com/masters-of-the-universe/images/panthor-5164.jpg,ActionFigure411 checklist section: Creatures Checklist. Checklist retail: $30.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2011,Creatures Checklist,Shadow Beast,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/creatures/shadow-beast-5165.php,,https://www.actionfigure411.com/masters-of-the-universe/images/shadow-beast-5165.jpg,ActionFigure411 checklist section: Creatures Checklist. Checklist retail: $30.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2011,Creatures Checklist,Swiftwind,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/creatures/swiftwind-7149.php,,https://www.actionfigure411.com/masters-of-the-universe/images/swiftwind-7149.jpg,ActionFigure411 checklist section: Creatures Checklist. Checklist retail: $47.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2011,Evil Horde Checklist,Catra,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/evil-horde/catra-5082.php,,https://www.actionfigure411.com/masters-of-the-universe/images/catra-5082.jpg,ActionFigure411 checklist section: Evil Horde Checklist. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2011,Evil Horde Checklist,Hurricane Hordak,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/evil-horde/hurricane-hordak-5083.php,,https://www.actionfigure411.com/masters-of-the-universe/images/hurricane-hordak-5083.jpg,ActionFigure411 checklist section: Evil Horde Checklist. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2011,Evil Horde Checklist,Leech,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/evil-horde/leech-5084.php,,https://www.actionfigure411.com/masters-of-the-universe/images/leech-5084.jpg,ActionFigure411 checklist section: Evil Horde Checklist. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2011,Evil Warriors Checklist,Battle Armor Skeletor,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/evil-warriors/battle-armor-skeletor-5079.php,,https://www.actionfigure411.com/masters-of-the-universe/images/battle-armor-skeletor-5079.jpg,ActionFigure411 checklist section: Evil Warriors Checklist. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2011,Evil Warriors Checklist,Battleground Evil-Lyn,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/evil-warriors/battleground-evil-lyn-5081.php,,https://www.actionfigure411.com/masters-of-the-universe/images/battleground-evil-lyn-5081.jpg,ActionFigure411 checklist section: Evil Warriors Checklist. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2011,Evil Warriors Checklist,Clawful,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/evil-warriors/clawful-5080.php,,https://www.actionfigure411.com/masters-of-the-universe/images/clawful-5080.jpg,ActionFigure411 checklist section: Evil Warriors Checklist. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2011,Evil Warriors Checklist,Demo-Man,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/evil-warriors/demo-man-5078.php,,https://www.actionfigure411.com/masters-of-the-universe/images/demo-man-5078.jpg,ActionFigure411 checklist section: Evil Warriors Checklist. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2011,Galactic Protectors Checklist,Icarius,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/galactic-protectors/icarius-5086.php,,https://www.actionfigure411.com/masters-of-the-universe/images/icarius-5086.jpg,ActionFigure411 checklist section: Galactic Protectors Checklist. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2011,Great Rebellion Checklist,Bow,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/great-rebellion/bow-5075.php,,https://www.actionfigure411.com/masters-of-the-universe/images/bow-5075.jpg,ActionFigure411 checklist section: Great Rebellion Checklist. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2011,Great Rebellion Checklist,Bubble Power She-Ra,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/great-rebellion/bubble-power-she-ra-7148.php,,https://www.actionfigure411.com/masters-of-the-universe/images/bubble-power-she-ra-7148.jpg,ActionFigure411 checklist section: Great Rebellion Checklist. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2011,Heroic Warriors Checklist,Battleground Teela,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/heroic-warriors/battleground-teela-5073.php,,https://www.actionfigure411.com/masters-of-the-universe/images/battleground-teela-5073.jpg,ActionFigure411 checklist section: Heroic Warriors Checklist. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2011,Heroic Warriors Checklist,Man-E-Faces,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/heroic-warriors/man-e-faces-5072.php,,https://www.actionfigure411.com/masters-of-the-universe/images/man-e-faces-5072.jpg,ActionFigure411 checklist section: Heroic Warriors Checklist. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2011,Heroic Warriors Checklist,Preternia Disguise He-Man,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/heroic-warriors/preternia-disguise-he-man-5069.php,,https://www.actionfigure411.com/masters-of-the-universe/images/preternia-disguise-he-man-5069.jpg,ActionFigure411 checklist section: Heroic Warriors Checklist. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2011,Heroic Warriors Checklist,Queen Marlena,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/heroic-warriors/queen-marlena-5071.php,,https://www.actionfigure411.com/masters-of-the-universe/images/queen-marlena-5071.jpg,ActionFigure411 checklist section: Heroic Warriors Checklist. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2011,Heroic Warriors Checklist,Snout Spout,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/heroic-warriors/snout-spout-5074.php,,https://www.actionfigure411.com/masters-of-the-universe/images/snout-spout-5074.jpg,ActionFigure411 checklist section: Heroic Warriors Checklist. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Classics,Mattel,2011,Heroic Warriors Checklist,Sy-Klone,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/mattel-classics/heroic-warriors/sy-klone-5070.php,,https://www.actionfigure411.com/masters-of-the-universe/images/sy-klone-5070.jpg,ActionFigure411 checklist section: Heroic Warriors Checklist. Checklist retail: $20.00. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
